ItemNo,ItemCode,ItemSize,ItemDesc,Main_Group,Item_Group,StoreName,TariffHeadNo,UnitCode,PcsRate,Qty1Kg,ItemLength
H01101,H01101,0,M2.5 SERRATED WASHER,BOP,BOUGHT OUT,STORE,0,NOS,0,0,0
A05002,DSPR4671000162,,BELLIVILLE SPRING,FG,FINISHED GOODS,STORE,73182200,NOS,14.52,0,0
A06001,026-294-194,,INT.CIR-4MM,FG,FINISHED GOODS,STORE,73182910,NOS,1.45,0,0
A06002,433-214-001,,E-CLIP-7,FG,FINISHED GOODS,STORE,73182910,NOS,3,0,0
A06003,505831-001,,E ELIP 1.9,FG,FINISHED GOODS,STORE,73182910,NOS,0,0,0
A06004,A06004,0,A06004 JUD. WASHER,BOP,BOUGHT OUT,STORE,73182910,NOS,0,1,0
A14001,90313-172-0000,,NUT SPEED 4MM,FG,FINISHED GOODS,STORE,73201019,NOS,0.58,0,0
A22001,H61211020374,,CIRCLIP M9X1.0 MM(THICK) -,FG,FINISHED GOODS,STORE,73182910,NOS,0.68,0,0
A22002,H60706020375,,E CLIP 5X0.7,FG,FINISHED GOODS,STORE,73182910,NOS,0,0,0
A22003,61E00-ETN-1000,,HING BLOCK,FG,FINISHED GOODS,STORE,73201019,NOS,81.33,0,0
A22004,PIN LOCKING,,LOCKING PIN,FG,FINISHED GOODS,STORE,73201019,NOS,0,0,0
A22006,NUT SPRING,,NUT SPRING 0.6,FG,FINISHED GOODS,STORE,73201019,NOS,1.92,0,0
A22009,H61211020374((,,CIRCLIP 1.15 BLACK,FG,FINISHED GOODS,STORE,73182910,NOS,0.76,0,0
A22010,H61211020374(((,,CIRCLIP 1.5 WHITE,FG,FINISHED GOODS,STORE,73182910,NOS,1.15,0,0
A25002,90564-50A010,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25003,90564-50A011,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25004,90564-50A012,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25005,90564-50A013,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,0,0,0
A25006,90564-50A014,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25007,90564-50A015,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25008,90564-50A016,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25009,90564-50A017,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,238,0,0
A25010,90564-46A048,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25011,90564-46A049,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25012,90564-46A050,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25013,90564-46A051,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25014,90564-46A052,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25015,90564-46A053,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25016,90564-46A054,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25017,90564-46A055,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25018,90564-46A056,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.33,0,0
A25019,90564-46A057,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25020,90564-46A058,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25021,90564-46A059,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25022,90564-46A060,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25023,90564-46A061,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25024,90564-46A062,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25025,90564-46A063,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25026,90564-46A064,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25027,90564-46A065,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
A25028,90564-46A066,,SHIM,FG,FINISHED GOODS,STORE,73201019,NOS,96.3,0,0
